partition,variable,active_samples,num_events,activation_ratio,entropy,mean_run_length,max_run_length,mean_gap_between_events
train,detector_final_carrera_inferior_elevador_artesa,0,0,0.0,0.0,0.0,0.0,
train,dosi_en_proceso,652528,72,0.6641283295319343,0.9208132826889157,9062.888888888889,69487.0,13733.87323943662
train,dosifica_aceite,9433,2085,0.009600695345601623,0.07813422909471152,4.524220623501199,18.0,471.37140115163146
train,dosifica_aceite_3,15082,1836,0.015350120555747237,0.11446847965824178,8.214596949891067,325.0,500.98801089918254
train,dosifica_bascula_harina,297763,3010,0.3030564876701342,0.8849950983913195,98.92458471760797,66102.0,326.50814223994684
train,dosifica_harinas,285268,3837,0.29033935755847384,0.8691592135679496,74.34662496742247,66103.0,256.1162669447341
train,dosifica_liquido,316785,11829,0.32241665165444827,0.9069901418883297,26.78037027643926,66102.0,83.06780520798107
train,dosifica_polvo,707,185,0.0007195687065981499,0.008550459214890954,3.8216216216216217,8.0,5329.505434782609
train,dosificacion_bascula_polvo,651894,230,0.6634830585842918,0.9214465941069119,2834.3217391304347,69488.0,4274.235807860262
train,dosificacion_liquido,391631,3008,0.3985932279119378,0.9701217350675932,130.19647606382978,2033.0,326.67243099434654
train,dosificacion_sal,0,0,0.0,0.0,0.0,0.0,
train,efectua_pesada,297750,3013,0.303043256562375,0.8849792012128294,98.8217723199469,66102.0,326.1829349269588
train,efectua_pesada_1,0,0,0.0,0.0,0.0,0.0,
train,efectua_pesada_2,326674,3016,0.3324814535491429,0.9174415975991761,108.31366047745358,66102.0,325.85837479270316
train,electrovalvula_abrir_tapa,21910,5564,0.02229950546190306,0.15416390483137568,3.9378145219266716,11.0,176.59805860147404
train,electrovalvula_cerrar_tapa,1659,443,0.0016884929055817973,0.017985023605215845,3.744920993227991,4.0,2218.794117647059
train,entrada_agua_fria,40004,4727,0.040715171907712004,0.24556167182333644,8.462872858049503,37.0,207.89462547608971
train,entrada_premezcla,108788,3011,0.11072198083932042,0.502089836893561,36.130189305878446,66095.0,326.4
train,ev_tapa_hari_liqui,42696,3042,0.043455028991392655,0.2579150583296245,14.035502958579881,68.0,323.0335415981585
train,ev_tolva_harina,0,0,0.0,0.0,0.0,0.0,
train,ev_tolva_liquido,0,0,0.0,0.0,0.0,0.0,
train,exc_masatoldivi,0,0,0.0,0.0,0.0,0.0,
train,excede_peso,0,0,0.0,0.0,0.0,0.0,
train,fallo_conline,0,0,0.0,0.0,0.0,0.0,
train,fallo_dectector_volcado_cazo,0,0,0.0,0.0,0.0,0.0,
train,fallo_detector_inmovilizador_cazo,0,0,0.0,0.0,0.0,0.0,
train,fallo_detector_tapa,0,0,0.0,0.0,0.0,0.0,
train,fallo_fin_carrera_elevador,4,2,4.071110079763225e-06,7.877125121338654e-05,2.0,2.0,5094.0
train,fallo_valvula_tapa,0,0,0.0,0.0,0.0,0.0,
train,fallo_variador_volteo_1,0,0,0.0,0.0,0.0,0.0,
train,fin_desc_bascu,8,4,8.14222015952645e-06,0.00014940025835617234,2.0,2.0,195000.33333333334
train,fin_descarga,224135,3113,0.22811956443193257,0.7747188517140018,71.99967876646322,31309.0,315.66227506426736
train,fin_total_amasado,423395,20,0.43092191305533756,0.9861874093631817,21169.75,76915.0,49826.73684210526
train,final_carrera_superior_elevador_artesa,545264,3104,0.5549574416330036,0.991267564484372,175.66494845360825,66117.0,316.61327747341284
train,formato_equivocado,0,0,0.0,0.0,0.0,0.0,
train,hay_ingrediente_manual,157144,3021,0.15993763059357802,0.6341603263427569,52.01721284342933,3033.0,325.2774834437086
train,ingrediente_introducido,4,1,4.071110079763225e-06,7.877125121338654e-05,4.0,4.0,
train,inicio_dosificacion,12,6,1.2213330239289673e-05,0.00021695601146832114,2.0,2.0,156554.0
train,inicio_tanda,692453,17,0.7047630970155709,0.8753903574712694,40732.529411764706,124834.0,56611.875
train,leido,0,0,0.0,0.0,0.0,0.0,
train,mal_posicion_artesa,0,0,0.0,0.0,0.0,0.0,
train,marcha_variador,393191,3810,0.4001809608430455,0.9710563513425512,103.1997375328084,1880.0,257.9474927802573
train,masa_en_artesa,22896,3062,0.023303034096564694,0.1596046179238644,7.477465708687133,21.0,320.91930741587714
train,masa_sin_aceite,28,2,2.849777055834257e-05,0.0004713948999102239,14.0,24.0,169.0
train,micro_seguridad_suprioir_elevador,4051,1,0.004123016733280205,0.03859886129153179,4051.0,4051.0,
