variable,active_samples_test,active_samples_train,active_samples_val,num_events_test,num_events_train,num_events_val,activation_ratio_test,activation_ratio_train,activation_ratio_val,entropy_test,entropy_train,entropy_val,mean_run_length_test,mean_run_length_train,mean_run_length_val,max_run_length_test,max_run_length_train,max_run_length_val,mean_gap_between_events_test,mean_gap_between_events_train,mean_gap_between_events_val
electrovalvula_abrir_tapa,16290,73507,14606,1201,5340,1055,0.11845032939226037,0.07293873432090582,0.06860530110521891,0.5248899192267483,0.376795950008556,0.3606972205934825,13.563696919233971,13.765355805243445,13.844549763033175,36.0,36.0,36.0,114.42083333333333,188.69095336205282,201.85199240986717
electrovalvula_cerrar_tapa,1297,5861,1296,102,460,102,0.009430943966958975,0.005815689959525338,0.006087393552811427,0.0769966094512973,0.051552169831993545,0.053558438463064476,12.715686274509803,12.741304347826087,12.705882352941176,13.0,13.0,13.0,1318.4257425742574,2191.3703703703704,2059.891089108911
entrada_agua_fria,19195,84092,18592,956,4556,948,0.13957360789959716,0.08344190412496241,0.08732779393045528,0.5831210389792227,0.4141923322653901,0.4274868793515734,20.078451882845187,18.457418788410887,19.61181434599156,47.0,54.0,46.0,143.97696335078535,221.18309549945116,224.5871172122492
ev_tapa_hari_liqui,15704,72598,16722,697,3146,674,0.11418931692916248,0.07203676159044882,0.07854428625780299,0.5124242990795946,0.37347888529622425,0.3970290074056023,22.530846484935438,23.07628734901462,24.810089020771514,166.0,77.0,520.0,197.2816091954023,320.3720190779014,316.1634472511144
fallo_presion,20430,403553,104713,169,761,160,0.1485537280223376,0.4004332247460039,0.4918435502280424,0.6062091430455114,0.9712034506484407,0.9998080331979028,120.88757396449704,530.2930354796321,654.45625,2476.0,105917.0,58198.0,814.3452380952381,1324.2434210526317,1316.7169811320755
fallo_variador_rodillos,56,286,11,1,6,1,0.0004071957302619141,0.0002837889999017653,5.1667692192072295e-05,0.0051731738591909125,0.003753218504686481,0.0008103062663032287,56.0,47.666666666666664,11.0,56.0,103.0,11.0,,160398.4,
hay_ingrediente_manual,36641,191930,34281,694,3120,635,0.26642962058083564,0.19044623339561476,0.16102001418513004,0.8362945820776498,0.7024040127993905,0.6367441777634824,52.79682997118156,61.51602564102564,53.98582677165354,2531.0,3042.0,887.0,198.1240981240981,322.996152613017,335.61829652996846
micro_barra_peso,4082,5662,30018,9,14,11,0.029681660195163096,0.005618228382670613,0.14099643492923875,0.19279287878200918,0.05008259432733966,0.5868424480327656,453.55555555555554,404.42857142857144,2728.909090909091,1669.0,2143.0,22931.0,13201.25,74356.76923076923,18986.5
micro_seguridad_suprioir_elevador,0,4060,0,0,1,0,0.0,0.004028613075528557,0.0,0.0,0.03784997257334504,0.0,0.0,4060.0,0.0,0.0,4060.0,0.0,,,
motor_amasadora,0,452,0,0,3,0,0.0,0.0004485056921524403,0.0,0.0,0.005635454982178874,0.0,0.0,150.66666666666666,0.0,0.0,158.0,0.0,,173.5,
no_hay_aceite_1,137526,263870,212899,1,3,1,1.0,0.26183008183244344,1.0,0.0,0.829495453140396,0.0,137526.0,87956.66666666667,212899.0,137526.0,182363.0,212899.0,,438229.5,
no_hay_artesa,72,200,53,3,9,3,0.0005235373674796038,0.00019845384608515058,0.00024894433510725745,0.006461360598025121,0.0027270457335655655,0.0033394400449247167,24.0,22.22222222222222,17.666666666666668,26.0,55.0,25.0,47864.5,94989.875,45951.5
no_ingrediente,1321,7036,962,87,450,62,0.00960545642278551,0.006981606305275598,0.00451857453534305,0.07816607292366458,0.06004092333531594,0.04170349333471109,15.183908045977011,15.635555555555555,15.516129032258064,65.0,76.0,43.0,1553.2209302325582,2244.489977728285,3425.409836065574
paro_emergencia,11,285,14159,1,3,1,7.99848755871617e-05,0.0002827967306713396,0.06650571397705016,0.0012039763863404469,0.0037415246017979235,0.35274623045391196,11.0,95.0,14159.0,11.0,173.0,14159.0,,455848.5,
peticion_levadura,21477,94152,20318,690,3114,631,0.15616683390777017,0.0934241325830455,0.09543492454168409,0.6250600276469456,0.4477970161164867,0.45435530237325283,31.12608695652174,30.235067437379577,32.199683042789225,51.0,308.0,46.0,199.56603773584905,323.72630902666236,337.5904761904762
puerta_frontal_izquierda,4568,67510,7957,30,184,32,0.03321553742565042,0.06698809574604259,0.037374529706574476,0.21026973904944418,0.3545819336332734,0.23012221089179696,152.26666666666668,366.9021739130435,248.65625,912.0,18490.0,2308.0,3746.9655172413795,5287.0109289617485,6475.741935483871
puertas_abierta,18610,230582,73314,690,3040,601,0.13531986678882538,0.22879942369003098,0.3443604713972353,0.5718494885352581,0.7759125513109009,0.9289303811410077,26.971014492753625,75.84934210526316,121.98668885191347,2497.0,66095.0,12943.0,199.36284470246736,331.5027969726884,354.63666666666666
rele_peticion_salvado,12589,49600,11547,410,1625,354,0.09153905443334351,0.04921655382911735,0.054236985612896256,0.44158622376419693,0.2830595669388655,0.30412974067424753,30.704878048780486,30.523076923076925,32.61864406779661,42.0,58.0,121.0,335.6161369193154,620.5123152709359,602.2407932011331
subir_elevador,16775,76916,15745,717,3308,679,0.1219769352704216,0.07632138012742722,0.07395525577856167,0.5350169330423504,0.38908281640825326,0.38051348037047666,23.396094839609486,23.251511487303507,23.188512518409425,27.0,40.0,35.0,191.76536312849163,304.6304807983066,313.83185840707966
volcar_cazo,5966,26123,5451,468,2048,427,0.043380887977546065,0.025921049106411943,0.0256036900126351,0.2575842763365286,0.17350423616927083,0.17184097441528537,12.747863247863247,12.75537109375,12.765807962529275,13.0,24.0,17.0,294.00642398286936,492.1465559355154,499.481220657277
